# FrameID, Timestamp_Sec, Odom_X, Odom_Y, Odom_Yaw, Lat, Lon
0, 1762515286.361185, 692921.2234, 5339074.0198, 1.0868, 48.175549459, 11.595176157
1, 1762515286.388789, 692921.2245, 5339074.0192, 1.0869, 48.175549453, 11.595176171
2, 1762515286.423320, 692921.2255, 5339074.0188, 1.0869, 48.175549449, 11.595176184
3, 1762515286.462229, 692921.2276, 5339074.0176, 1.0869, 48.175549438, 11.595176213
4, 1762515286.487365, 692921.2280, 5339074.0174, 1.0869, 48.175549436, 11.595176217
5, 1762515286.532830, 692921.2310, 5339074.0159, 1.0869, 48.175549421, 11.595176258
6, 1762515286.562130, 692921.2346, 5339074.0140, 1.0869, 48.175549404, 11.595176305
7, 1762515286.589475, 692921.2402, 5339074.0111, 1.0869, 48.175549375, 11.595176379
8, 1762515286.612474, 692921.2409, 5339074.0107, 1.0869, 48.175549372, 11.595176388
9, 1762515286.668859, 692921.2505, 5339074.0057, 1.0869, 48.175549324, 11.595176515
10, 1762515286.698876, 692921.2577, 5339074.0019, 1.0869, 48.175549289, 11.595176610
11, 1762515286.726840, 692921.2656, 5339073.9978, 1.0869, 48.175549250, 11.595176714
12, 1762515286.759087, 692921.2673, 5339073.9969, 1.0869, 48.175549241, 11.595176737
13, 1762515286.805855, 692921.2801, 5339073.9902, 1.0869, 48.175549177, 11.595176907
14, 1762515286.823298, 692921.2941, 5339073.9829, 1.0868, 48.175549108, 11.595177092
15, 1762515286.866352, 692921.2977, 5339073.9810, 1.0868, 48.175549090, 11.595177139
16, 1762515286.898851, 692921.3099, 5339073.9746, 1.0868, 48.175549029, 11.595177300
17, 1762515286.930236, 692921.3229, 5339073.9677, 1.0869, 48.175548963, 11.595177473
18, 1762515286.953957, 692921.3249, 5339073.9666, 1.0869, 48.175548953, 11.595177499
19, 1762515286.983141, 692921.3428, 5339073.9570, 1.0869, 48.175548862, 11.595177736
20, 1762515287.029990, 692921.3671, 5339073.9442, 1.0869, 48.175548740, 11.595178057
21, 1762515287.072357, 692921.3852, 5339073.9347, 1.0869, 48.175548650, 11.595178296
22, 1762515287.086787, 692921.3867, 5339073.9339, 1.0869, 48.175548642, 11.595178317
23, 1762515287.121976, 692921.4050, 5339073.9242, 1.0869, 48.175548550, 11.595178559
24, 1762515287.163054, 692921.4302, 5339073.9108, 1.0869, 48.175548423, 11.595178892
25, 1762515287.182509, 692921.4325, 5339073.9096, 1.0869, 48.175548411, 11.595178923
26, 1762515287.216611, 692921.4623, 5339073.8936, 1.0870, 48.175548260, 11.595179317
