# FINAL ACTIVE CLUSTER POSITIONS
# cluster_id, x, y, z, count, last_conf
1, 692934.933, 5339060.284, 549.541, 24, 0.938
2, 692940.844, 5339056.688, 549.664, 51, 0.928
3, 692948.982, 5339053.541, 548.874, 46, 0.933
4, 692956.178, 5339059.045, 549.049, 45, 0.932
5, 692958.454, 5339047.201, 548.725, 22, 0.915
6, 692963.124, 5339054.362, 549.060, 25, 0.902
7, 692966.563, 5339052.016, 549.144, 28, 0.888
8, 692959.622, 5339046.830, 548.546, 44, 0.911
9, 692961.663, 5339055.185, 549.023, 5, 0.920
10, 692959.905, 5339056.298, 548.957, 6, 0.779
11, 692964.867, 5339053.116, 548.977, 15, 0.922
12, 692971.546, 5339049.753, 549.140, 68, 0.703
13, 692968.959, 5339050.991, 548.973, 30, 0.858
14, 692973.448, 5339049.317, 549.111, 2, 0.750
15, 692985.484, 5339041.455, 549.177, 34, 0.916
16, 692992.709, 5339028.787, 549.226, 34, 0.931
17, 693002.157, 5339024.141, 549.242, 55, 0.939
18, 693026.683, 5339009.993, 549.383, 41, 0.935
19, 693031.904, 5339007.178, 549.392, 35, 0.951
20, 693025.669, 5339010.098, 549.531, 2, 0.919
21, 693034.931, 5339004.141, 550.088, 5, 0.874
22, 693037.206, 5339004.258, 549.368, 39, 0.932
23, 693055.283, 5338989.866, 550.279, 2, 0.927
24, 693064.373, 5339011.312, 549.372, 36, 0.949
25, 693068.925, 5339016.180, 549.392, 40, 0.931
26, 693072.083, 5339020.902, 549.551, 41, 0.934
27, 693075.970, 5339029.206, 549.440, 66, 0.885
28, 693081.976, 5339036.455, 549.222, 35, 0.912
29, 693084.941, 5339044.465, 549.847, 54, 0.909
30, 693091.777, 5339053.386, 549.896, 37, 0.931
31, 693130.670, 5339056.876, 549.317, 21, 0.933
32, 693121.755, 5339058.950, 549.460, 6, 0.934
33, 693129.495, 5339057.862, 549.260, 11, 0.936
34, 693134.678, 5339057.412, 549.087, 32, 0.925
35, 693141.677, 5339056.429, 549.079, 26, 0.925
36, 693151.361, 5339065.893, 549.257, 80, 0.897
37, 693156.178, 5339071.404, 549.053, 40, 0.946
38, 693159.823, 5339077.474, 549.111, 43, 0.932
39, 693160.840, 5339080.394, 549.417, 20, 0.640
40, 693157.985, 5339089.135, 549.226, 39, 0.906
41, 693161.018, 5339092.674, 549.332, 47, 0.920
42, 693154.254, 5339084.278, 549.213, 9, 0.932
43, 693167.147, 5339087.700, 548.716, 37, 0.938
44, 693165.989, 5339098.697, 549.683, 8, 0.629
45, 693156.049, 5339087.032, 549.224, 5, 0.909
46, 693169.648, 5339091.812, 548.928, 36, 0.937
47, 693173.971, 5339098.055, 549.173, 20, 0.883
48, 693168.105, 5339103.155, 549.486, 13, 0.802
49, 693165.994, 5339101.292, 549.247, 20, 0.897
50, 693172.121, 5339096.342, 548.917, 21, 0.926
51, 693174.743, 5339100.615, 548.885, 35, 0.923
52, 693164.960, 5339100.042, 549.096, 12, 0.617
53, 693176.067, 5339103.872, 548.993, 47, 0.748
54, 693169.218, 5339106.016, 549.234, 46, 0.761
55, 693162.922, 5339096.468, 548.798, 3, 0.739
56, 693175.790, 5339115.051, 549.301, 46, 0.608
57, 693173.931, 5339113.560, 549.005, 23, 0.877
58, 693183.064, 5339113.600, 548.592, 43, 0.925
59, 693189.568, 5339122.126, 548.791, 17, 0.692
60, 693183.441, 5339128.513, 548.798, 38, 0.931
61, 693186.433, 5339119.208, 548.579, 26, 0.725
62, 693184.669, 5339129.486, 548.996, 39, 0.809
63, 693180.851, 5339125.564, 548.953, 29, 0.911
64, 693188.442, 5339122.982, 548.545, 47, 0.924
65, 693181.844, 5339126.965, 548.962, 17, 0.751
66, 693192.879, 5339131.217, 548.589, 57, 0.923
67, 693186.470, 5339134.159, 549.016, 44, 0.931
68, 693191.291, 5339142.037, 548.847, 66, 0.920
69, 693198.801, 5339141.517, 548.612, 65, 0.865
70, 693194.563, 5339147.423, 548.562, 68, 0.917
71, 693207.927, 5339152.611, 548.513, 11, 0.903
72, 693199.747, 5339155.360, 548.985, 7, 0.791
73, 693205.741, 5339150.439, 548.285, 23, 0.917
74, 693201.254, 5339158.670, 548.499, 44, 0.909
75, 693197.392, 5339152.888, 548.628, 26, 0.883
76, 693205.205, 5339162.741, 548.637, 79, 0.817
77, 693209.650, 5339159.275, 548.355, 68, 0.848
78, 693219.013, 5339169.931, 548.219, 1, 0.614
79, 693217.647, 5339168.779, 548.260, 4, 0.877
80, 693215.879, 5339167.688, 548.286, 26, 0.934
81, 693219.480, 5339172.845, 548.256, 32, 0.921
