# FINAL ACTIVE CLUSTER POSITIONS WITH ORIENTATION + SIDE + COLOR (MAJORITY)
# cluster_id, x, y, z, count, last_conf, orientation, side, rgb_color
1, 692955.845, 5339059.252, 549.017, 274, 0.695, perpendicular, left, 100-52-57
2, 692934.785, 5339060.392, 549.478, 64, 0.866, parallel, right, 44-50-65
3, 692940.406, 5339057.078, 549.593, 136, 0.921, parallel, right, 86-86-87
4, 692948.690, 5339053.753, 548.798, 271, 0.759, parallel, right, 66-70-79
5, 692959.329, 5339047.080, 548.539, 206, 0.852, parallel, right, 148-152-150
6, 692967.729, 5339051.734, 548.984, 77, 0.753, perpendicular, left, 79-80-83
7, 692957.470, 5339047.576, 548.638, 57, 0.499, parallel, right, 77-78-81
8, 692961.362, 5339044.047, 549.263, 24, 0.743, parallel, right, 78-78-80
9, 692965.870, 5339050.334, 549.899, 7, 0.552, perpendicular, left, 125-126-121
10, 692968.875, 5339051.129, 548.950, 92, 0.580, perpendicular, left, 98-49-55
11, 692964.132, 5339053.824, 549.061, 43, 0.810, perpendicular, left, 69-72-76
12, 692961.371, 5339055.472, 548.964, 88, 0.865, perpendicular, left, 136-136-129
13, 692971.021, 5339049.965, 549.135, 88, 0.453, perpendicular, left, 109-65-64
14, 692965.134, 5339053.099, 548.962, 48, 0.609, perpendicular, left, 75-76-79
15, 692980.514, 5339043.683, 549.212, 22, 0.436, perpendicular, left, 61-68-82
16, 692975.443, 5339046.668, 549.228, 32, 0.732, perpendicular, left, 117-73-72
17, 692978.211, 5339044.467, 549.319, 21, 0.505, perpendicular, left, 47-52-67
18, 692971.703, 5339049.481, 549.201, 139, 0.912, perpendicular, left, 47-58-77
19, 692983.320, 5339042.048, 549.318, 24, 0.696, perpendicular, left, 21-30-52
20, 692985.108, 5339041.738, 549.151, 166, 0.800, perpendicular, left, 33-38-57
21, 692973.693, 5339049.020, 549.110, 19, 0.774, perpendicular, left, 132-133-124
22, 692992.025, 5339029.247, 549.128, 151, 0.882, parallel, right, 46-50-65
23, 693001.788, 5339024.504, 549.200, 193, 0.918, parallel, right, 81-84-89
24, 693026.221, 5339010.340, 549.325, 188, 0.817, parallel, right, 43-53-77
25, 693036.504, 5339004.821, 549.291, 207, 0.764, parallel, right, 54-59-75
26, 693031.485, 5339007.489, 549.355, 138, 0.852, parallel, right, 161-162-154
27, 693037.414, 5339001.998, 550.413, 6, 0.487, parallel, right, 141-142-134
28, 693066.265, 5339004.590, 551.067, 8, 0.877, parallel, left, 45-62-80
29, 693067.575, 5339004.348, 551.258, 32, 0.873, parallel, left, 50-61-76
30, 693055.259, 5338989.641, 550.340, 73, 0.866, parallel, right, 69-77-90
31, 693063.947, 5339011.095, 549.333, 89, 0.866, parallel, left, 59-70-85
32, 693068.701, 5339015.915, 549.359, 98, 0.910, parallel, left, 135-141-144
33, 693071.964, 5339020.659, 549.505, 103, 0.888, parallel, left, 71-71-75
34, 693075.662, 5339028.928, 549.410, 171, 0.903, parallel, right, 43-56-76
35, 693081.508, 5339035.936, 549.174, 154, 0.861, parallel, right, 90-93-95
36, 693084.684, 5339044.233, 549.823, 247, 0.880, parallel, right, 41-50-68
37, 693089.621, 5339046.260, 550.153, 3, 0.598, parallel, right, 49-57-74
38, 693098.938, 5339053.191, 550.365, 1, 0.403, parallel, right, 78-72-70
39, 693091.328, 5339052.853, 549.846, 143, 0.886, parallel, right, 118-121-118
40, 693141.104, 5339056.525, 549.049, 56, 0.851, parallel, right, 82-91-103
41, 693138.151, 5339057.648, 550.364, 34, 0.878, parallel, right, 82-89-100
42, 693131.012, 5339058.110, 549.924, 52, 0.790, parallel, right, 69-72-78
43, 693143.073, 5339055.903, 549.225, 78, 0.674, parallel, right, 81-90-102
44, 693121.551, 5339059.075, 549.437, 9, 0.863, parallel, right, 67-72-78
45, 693128.747, 5339057.799, 549.024, 52, 0.847, parallel, right, 70-73-79
46, 693134.137, 5339057.509, 549.045, 91, 0.867, parallel, right, 96-98-99
47, 693143.842, 5339053.426, 549.868, 17, 0.499, parallel, right, 48-52-66
48, 693147.134, 5339054.253, 549.909, 31, 0.578, parallel, right, 100-105-103
49, 693140.815, 5339054.253, 549.910, 4, 0.411, parallel, right, 90-91-94
50, 693149.698, 5339053.743, 549.890, 1, 0.587, parallel, right, 92-98-99
51, 693151.148, 5339065.822, 549.239, 277, 0.902, parallel, left, 40-52-74
52, 693162.167, 5339068.442, 549.894, 81, 0.803, parallel, left, 51-63-75
53, 693155.874, 5339071.045, 548.994, 90, 0.912, parallel, left, 70-73-76
54, 693159.909, 5339077.383, 549.081, 130, 0.888, parallel, left, 68-75-81
55, 693171.557, 5339093.125, 549.023, 34, 0.816, parallel, right, 71-73-80
56, 693172.243, 5339096.386, 548.909, 94, 0.650, parallel, right, 68-71-79
57, 693168.076, 5339101.507, 549.557, 100, 0.756, perpendicular, left, 54-60-73
58, 693161.029, 5339092.728, 549.342, 79, 0.625, perpendicular, left, 121-123-116
59, 693162.089, 5339092.399, 549.915, 1, 0.517, perpendicular, left, 69-79-89
60, 693160.956, 5339080.246, 549.412, 22, 0.724, parallel, right, 127-130-129
61, 693157.844, 5339089.071, 549.225, 53, 0.893, perpendicular, left, 155-170-175
62, 693173.434, 5339095.782, 549.144, 34, 0.479, parallel, right, 73-75-83
63, 693169.464, 5339091.635, 548.907, 37, 0.847, parallel, right, 69-71-78
64, 693154.544, 5339084.529, 549.241, 11, 0.776, perpendicular, left, 69-78-90
65, 693174.433, 5339100.241, 548.871, 49, 0.876, parallel, right, 81-82-84
66, 693162.172, 5339082.847, 549.484, 2, 0.495, parallel, right, 122-131-131
67, 693177.046, 5339102.752, 549.093, 41, 0.632, parallel, right, 70-74-81
68, 693167.107, 5339087.623, 548.721, 41, 0.913, parallel, right, 96-101-102
69, 693165.498, 5339099.839, 549.300, 106, 0.870, perpendicular, left, 71-79-86
70, 693156.367, 5339087.660, 549.233, 10, 0.860, perpendicular, left, 145-157-160
71, 693180.732, 5339107.035, 549.166, 22, 0.496, parallel, right, 88-89-93
72, 693175.778, 5339103.576, 548.946, 88, 0.800, parallel, right, 64-67-78
73, 693171.184, 5339105.920, 549.779, 11, 0.856, perpendicular, left, 25-36-58
74, 693182.396, 5339108.390, 549.640, 3, 0.477, parallel, right, 79-82-88
75, 693163.512, 5339096.841, 549.043, 7, 0.888, perpendicular, left, 102-112-115
76, 693169.193, 5339105.816, 549.250, 74, 0.789, perpendicular, left, 55-60-71
77, 693178.026, 5339115.382, 549.885, 9, 0.585, perpendicular, left, 97-103-108
78, 693180.144, 5339117.927, 550.073, 3, 0.554, perpendicular, left, 116-122-125
79, 693175.391, 5339115.241, 549.151, 121, 0.887, perpendicular, left, 91-96-103
80, 693182.755, 5339113.264, 548.562, 120, 0.892, parallel, right, 47-52-66
81, 693188.255, 5339120.684, 548.655, 62, 0.793, parallel, right, 78-80-88
82, 693188.230, 5339122.714, 548.537, 107, 0.814, parallel, right, 73-73-76
83, 693181.351, 5339124.729, 549.090, 5, 0.845, perpendicular, left, 62-48-60
84, 693178.689, 5339120.659, 549.206, 5, 0.440, perpendicular, left, 30-43-62
85, 693180.263, 5339122.522, 549.001, 2, 0.512, perpendicular, left, 34-40-59
86, 693186.148, 5339118.759, 548.605, 19, 0.850, parallel, right, 76-78-84
87, 693177.018, 5339118.083, 549.176, 2, 0.778, perpendicular, left, 25-38-59
88, 693173.718, 5339113.250, 549.015, 30, 0.888, perpendicular, left, 33-37-58
89, 693189.295, 5339133.592, 549.550, 19, 0.548, perpendicular, left, 69-75-84
90, 693190.871, 5339122.341, 548.342, 48, 0.615, parallel, right, 61-64-77
91, 693183.234, 5339128.190, 548.796, 188, 0.861, perpendicular, left, 85-94-99
92, 693174.326, 5339117.318, 548.533, 1, 0.526, perpendicular, left, 19-29-53
93, 693193.220, 5339127.828, 548.914, 37, 0.464, parallel, right, 75-76-80
94, 693186.230, 5339130.508, 549.292, 26, 0.428, perpendicular, left, 19-33-56
95, 693184.142, 5339115.447, 548.616, 3, 0.838, parallel, right, 41-47-62
96, 693180.805, 5339125.632, 548.958, 47, 0.603, perpendicular, left, 47-52-65
97, 693196.163, 5339130.975, 548.850, 1, 0.406, parallel, right, 77-78-81
98, 693192.694, 5339131.018, 548.538, 182, 0.885, parallel, right, 56-59-70
99, 693192.498, 5339123.767, 548.240, 10, 0.527, parallel, right, 31-41-66
100, 693181.823, 5339127.065, 548.940, 26, 0.874, perpendicular, left, 61-63-71
101, 693194.724, 5339143.924, 549.388, 8, 0.413, perpendicular, left, 57-61-72
102, 693190.253, 5339138.325, 549.210, 31, 0.414, perpendicular, left, 64-69-78
103, 693202.226, 5339142.867, 549.374, 51, 0.669, parallel, right, 60-66-77
104, 693186.283, 5339134.106, 548.981, 90, 0.850, perpendicular, left, 19-30-52
105, 693194.551, 5339147.220, 548.562, 287, 0.704, perpendicular, left, 65-76-87
106, 693191.135, 5339141.962, 548.854, 172, 0.730, perpendicular, left, 59-72-81
107, 693198.556, 5339141.304, 548.587, 210, 0.863, parallel, right, 60-66-77
108, 693210.883, 5339155.498, 548.757, 23, 0.417, parallel, right, 79-80-85
109, 693200.972, 5339158.395, 548.478, 174, 0.829, perpendicular, left, 16-41-69
110, 693202.257, 5339157.466, 548.882, 20, 0.432, perpendicular, left, 69-84-99
111, 693205.009, 5339162.443, 548.602, 243, 0.802, perpendicular, left, 96-108-113
112, 693208.545, 5339153.171, 548.506, 71, 0.749, parallel, right, 76-77-81
113, 693205.368, 5339149.997, 548.249, 67, 0.880, parallel, right, 74-76-81
114, 693209.424, 5339159.159, 548.355, 273, 0.608, parallel, right, 156-169-167
115, 693206.526, 5339162.596, 549.049, 31, 0.895, perpendicular, left, 88-107-114
116, 693197.158, 5339152.713, 548.616, 64, 0.907, perpendicular, left, 23-33-56
117, 693210.776, 5339167.670, 548.961, 6, 0.423, perpendicular, left, 151-135-100
118, 693222.159, 5339167.389, 549.278, 2, 0.415, parallel, right, 93-97-98
119, 693211.494, 5339174.049, 548.637, 12, 0.486, perpendicular, left, 76-76-74
120, 693209.818, 5339171.359, 548.504, 7, 0.575, perpendicular, left, 105-66-67
121, 693223.685, 5339175.879, 548.521, 40, 0.699, parallel, right, 149-157-154
122, 693221.503, 5339172.155, 548.697, 1, 0.447, parallel, right, 110-83-83
123, 693211.039, 5339169.667, 548.620, 12, 0.486, perpendicular, left, 133-123-91
124, 693225.640, 5339177.332, 548.485, 8, 0.526, parallel, right, 146-155-152
125, 693219.384, 5339172.535, 548.231, 100, 0.852, parallel, right, 148-157-155
126, 693215.724, 5339167.404, 548.255, 73, 0.895, parallel, right, 102-76-77
127, 693223.931, 5339193.607, 548.823, 5, 0.446, perpendicular, left, 52-61-74
128, 693222.812, 5339191.745, 548.701, 2, 0.453, unknown, left, 53-62-75
129, 693222.759, 5339205.747, 549.415, 10, 0.439, parallel, left, 9-25-49
